Date,Clicks,Impressions,CTR,Position
2025-02-02,82,5643,1.45%,14.6
2025-02-03,121,6992,1.73%,13.7
2025-02-04,184,7651,2.4%,11
2025-02-05,179,7559,2.37%,10.7
2025-02-06,179,7634,2.34%,10.9
2025-02-07,145,6841,2.12%,11.2
2025-02-08,111,6474,1.71%,15.9
2025-02-09,98,5469,1.79%,14
2025-02-10,200,8190,2.44%,12.3
2025-02-11,201,7504,2.68%,10.7
2025-02-12,200,7748,2.58%,10.5
2025-02-13,161,6718,2.4%,12
2025-02-14,140,5414,2.59%,11.9
2025-02-15,98,5815,1.69%,16.3
2025-02-16,89,5162,1.72%,13.1
2025-02-17,147,7817,1.88%,13.1
2025-02-18,216,7686,2.81%,12.6
2025-02-19,192,9024,2.13%,16.3
2025-02-20,145,7455,1.95%,11.6
2025-02-21,134,7086,1.89%,11.7
2025-02-22,114,8832,1.29%,17.7
2025-02-23,97,6053,1.6%,12.9
2025-02-24,188,9012,2.09%,12.3
2025-02-25,215,8270,2.6%,11.1
2025-02-26,212,8123,2.61%,10.9
2025-02-27,159,7465,2.13%,11.6
2025-02-28,150,6903,2.17%,14
2025-03-01,98,5711,1.72%,15.4
2025-03-02,79,5243,1.51%,15.3
2025-03-03,202,8062,2.51%,12.6
2025-03-04,172,7045,2.44%,11.5
2025-03-05,169,7167,2.36%,11.9
2025-03-06,156,6665,2.34%,12.4
2025-03-07,159,6404,2.48%,12.4
2025-03-08,93,6089,1.53%,18.4
2025-03-09,87,5266,1.65%,16.3
2025-03-10,203,7705,2.63%,12.7
2025-03-11,183,6853,2.67%,11.8
2025-03-12,173,6792,2.55%,11.4
2025-03-13,153,6736,2.27%,13
2025-03-14,116,5772,2.01%,12.5
2025-03-15,76,5750,1.32%,16.8
2025-03-16,57,4691,1.22%,15.7
2025-03-17,93,5286,1.76%,13.8
2025-03-18,172,8530,2.02%,16.9
2025-03-19,171,6700,2.55%,11.8
2025-03-20,185,7105,2.6%,12.5
2025-03-21,126,6235,2.02%,12.8
2025-03-22,97,5963,1.63%,16.4
2025-03-23,77,5152,1.49%,15.7
2025-03-24,172,7348,2.34%,12.3
2025-03-25,183,9064,2.02%,15.5
2025-03-26,177,7782,2.27%,13.3
2025-03-27,168,7099,2.37%,12.4
2025-03-28,126,6217,2.03%,12.8
2025-03-29,78,5886,1.33%,17.3
2025-03-30,83,4916,1.69%,14.2
2025-03-31,145,7009,2.07%,11.7
2025-04-01,155,7024,2.21%,12.5
2025-04-02,174,7316,2.38%,12.4
2025-04-03,149,6522,2.28%,11.7
2025-04-04,153,6118,2.5%,11.9
2025-04-05,82,5734,1.43%,15.2
2025-04-06,77,4784,1.61%,14.3
2025-04-07,154,6936,2.22%,11.4
2025-04-08,175,7449,2.35%,12.9
2025-04-09,165,6844,2.41%,11.8
2025-04-10,149,7005,2.13%,13
2025-04-11,151,6327,2.39%,12.6
2025-04-12,99,5963,1.66%,15.7
2025-04-13,85,5262,1.62%,14.2
2025-04-14,141,7132,1.98%,11.9
2025-04-15,168,6840,2.46%,12.2
2025-04-16,150,5788,2.59%,11
2025-04-17,85,4878,1.74%,12.9
2025-04-18,91,4377,2.08%,13.6
2025-04-19,116,5114,2.27%,17.1
2025-04-20,82,4399,1.86%,16.3
2025-04-21,156,6432,2.43%,12.3
2025-04-22,147,6630,2.22%,12.2
2025-04-23,176,6645,2.65%,12.6
2025-04-24,174,8457,2.06%,16.6
2025-04-25,173,7196,2.4%,14.6
2025-04-26,96,5473,1.75%,16.3
2025-04-27,94,4929,1.91%,16.5
2025-04-28,152,6682,2.27%,13.6
2025-04-29,133,6816,1.95%,14.2
2025-04-30,132,5960,2.21%,12.9
2025-05-01,99,5432,1.82%,14.3
2025-05-02,122,6443,1.89%,12.7
2025-05-03,102,5980,1.71%,16.1
2025-05-04,95,5580,1.7%,15.2
2025-05-05,194,7289,2.66%,12.6
2025-05-06,141,7102,1.99%,12.4
2025-05-07,178,6993,2.55%,13.2
2025-05-08,194,7089,2.74%,14
2025-05-09,140,7303,1.92%,15
2025-05-10,67,5202,1.29%,17.7
2025-05-11,83,5188,1.6%,16
2025-05-12,173,7597,2.28%,12.3
2025-05-13,179,7418,2.41%,12.1
2025-05-14,169,7591,2.23%,12.8
2025-05-15,159,7640,2.08%,12.3
2025-05-16,132,7966,1.66%,15.2
2025-05-17,87,5846,1.49%,15
2025-05-18,93,5850,1.59%,16
2025-05-19,173,7882,2.19%,12.4
2025-05-20,193,7908,2.44%,11.9
2025-05-21,175,7598,2.3%,12
2025-05-22,207,7898,2.62%,13.6
2025-05-23,141,9518,1.48%,18
2025-05-24,109,6278,1.74%,16.8
2025-05-25,87,5579,1.56%,16.3
2025-05-26,207,8736,2.37%,12
2025-05-27,166,8560,1.94%,12.8
2025-05-28,166,7939,2.09%,13
2025-05-29,153,7903,1.94%,16.1
2025-05-30,120,8300,1.45%,17.4
2025-05-31,80,5740,1.39%,16.2
2025-06-01,92,28539,0.32%,14
2025-06-02,150,7600,1.97%,13.8
2025-06-03,156,7200,2.17%,13.1
2025-06-04,134,6553,2.04%,13.9
2025-06-05,128,6999,1.83%,14.5
2025-06-06,106,7473,1.42%,16.7
2025-06-07,95,6320,1.5%,17.5
2025-06-08,58,5321,1.09%,16.3
2025-06-09,130,7292,1.78%,13.9
2025-06-10,141,7463,1.89%,13.5
2025-06-11,139,7340,1.89%,14.1
2025-06-12,132,6370,2.07%,13.8
2025-06-13,116,6362,1.82%,15.5
2025-06-14,69,5818,1.19%,17.4
2025-06-15,60,4688,1.28%,18.3
2025-06-16,143,7641,1.87%,16.8
2025-06-17,123,6189,1.99%,13.5
2025-06-18,140,6838,2.05%,13
2025-06-19,152,6615,2.3%,15
2025-06-20,101,6868,1.47%,17.3
2025-06-21,61,6053,1.01%,20.1
2025-06-22,55,4464,1.23%,17.6
2025-06-23,116,7760,1.49%,17.6
2025-06-24,150,6288,2.39%,13.1
2025-06-25,111,6353,1.75%,13.6
2025-06-26,135,6001,2.25%,13.5
2025-06-27,98,6489,1.51%,16.4
2025-06-28,83,5130,1.62%,18.1
2025-06-29,81,4814,1.68%,17.2
2025-06-30,161,6625,2.43%,13.9
2025-07-01,133,6215,2.14%,13.3
2025-07-02,124,6275,1.98%,14.2
2025-07-03,123,5841,2.11%,13.8
2025-07-04,117,5434,2.15%,14.1
2025-07-05,76,4960,1.53%,18.4
2025-07-06,66,4494,1.47%,17.4
2025-07-07,147,5818,2.53%,13.4
2025-07-08,135,7135,1.89%,15.6
2025-07-09,122,6219,1.96%,14.4
2025-07-10,110,6500,1.69%,15.7
2025-07-11,80,5231,1.53%,14.9
2025-07-12,57,4840,1.18%,18.9
2025-07-13,65,4103,1.58%,16.7
2025-07-14,129,7151,1.8%,15.9
2025-07-15,128,6532,1.96%,13.9
2025-07-16,115,5822,1.98%,13.7
2025-07-17,114,5813,1.96%,14
2025-07-18,84,5677,1.48%,15.8
2025-07-19,43,4613,0.93%,17.6
2025-07-20,56,4369,1.28%,18.3
2025-07-21,133,7329,1.81%,16.1
2025-07-22,110,5851,1.88%,14.2
2025-07-23,126,7536,1.67%,17.7
2025-07-24,121,5666,2.14%,14.6
2025-07-25,89,6736,1.32%,18.6
2025-07-26,54,4492,1.2%,18.2
2025-07-27,62,4153,1.49%,18.3
2025-07-28,121,6908,1.75%,16.4
2025-07-29,112,5879,1.91%,14.3
2025-07-30,125,5710,2.19%,14.5
2025-07-31,137,5595,2.45%,14.2
2025-08-01,110,5032,2.19%,13.6
2025-08-02,58,4681,1.24%,18.3
2025-08-03,62,4199,1.48%,17.9
2025-08-04,116,6705,1.73%,16.3
2025-08-05,139,5643,2.46%,13.3
2025-08-06,111,5639,1.97%,13.9
2025-08-07,120,6104,1.97%,14.5
2025-08-08,98,5302,1.85%,14.8
2025-08-09,50,5009,1%,18.9
2025-08-10,59,4266,1.38%,17.4
2025-08-11,122,7174,1.7%,16.6
2025-08-12,123,5947,2.07%,13.7
2025-08-13,120,6228,1.93%,14.7
2025-08-14,135,5891,2.29%,15
2025-08-15,122,5158,2.37%,14.3
2025-08-16,69,4930,1.4%,18.4
2025-08-17,61,4122,1.48%,17.1
2025-08-18,123,6932,1.77%,16.3
2025-08-19,122,5658,2.16%,13.6
2025-08-20,105,5574,1.88%,13.9
2025-08-21,111,5779,1.92%,14.3
2025-08-22,88,5368,1.64%,15.1
2025-08-23,68,5846,1.16%,20.5
2025-08-24,58,6211,0.93%,21.9
2025-08-25,107,7257,1.47%,16.2
2025-08-26,106,6326,1.68%,13.7
2025-08-27,116,6404,1.81%,14.3
2025-08-28,123,6088,2.02%,15.2
2025-08-29,90,5745,1.57%,15
2025-08-30,84,5574,1.51%,19.5
2025-08-31,51,5329,0.96%,17.8
2025-09-01,80,7150,1.12%,16.5
2025-09-02,126,6810,1.85%,12.9
2025-09-03,112,6197,1.81%,13.3
2025-09-04,114,6358,1.79%,15
2025-09-05,84,5401,1.56%,15.3
2025-09-06,61,5245,1.16%,18.9
2025-09-07,47,4605,1.02%,17.6
2025-09-08,130,7332,1.77%,16.1
2025-09-09,152,6479,2.35%,12.7
2025-09-10,143,6083,2.35%,12.8
2025-09-11,118,5492,2.15%,12.6
2025-09-12,108,4628,2.33%,9.3
2025-09-13,58,3792,1.53%,12
2025-09-14,49,3271,1.5%,11.7
2025-09-15,87,4531,1.92%,11.2
2025-09-16,78,4249,1.84%,10.3
2025-09-17,133,5019,2.65%,7.9
2025-09-18,161,5404,2.98%,8.4
2025-09-19,103,4693,2.19%,9.1
2025-09-20,58,4029,1.44%,14.9
2025-09-21,75,3482,2.15%,9.4
2025-09-22,163,5853,2.78%,9.9
2025-09-23,119,4766,2.5%,8.5
2025-09-24,141,5243,2.69%,10.3
2025-09-25,124,4883,2.54%,9.3
2025-09-26,124,4585,2.7%,9.3
2025-09-27,77,4212,1.83%,14.7
2025-09-28,56,3542,1.58%,11.6
2025-09-29,126,5403,2.33%,9.5
2025-09-30,151,5564,2.71%,9.4
2025-10-01,154,5757,2.68%,9.7
2025-10-02,125,4860,2.57%,10
2025-10-03,131,4745,2.76%,8.5
2025-10-04,71,4868,1.46%,14.3
2025-10-05,65,3766,1.73%,10.2
2025-10-06,152,5973,2.54%,9.5
2025-10-07,109,5294,2.06%,9.3
2025-10-08,126,5298,2.38%,8.9
2025-10-09,132,5124,2.58%,9.1
2025-10-10,94,4296,2.19%,9.3
2025-10-11,64,3953,1.62%,14.5
2025-10-12,75,3384,2.22%,11.3
2025-10-13,125,5502,2.27%,8.9
2025-10-14,117,5154,2.27%,9.8
2025-10-15,123,5052,2.43%,9.1
2025-10-16,121,5120,2.36%,9.1
2025-10-17,117,4681,2.5%,10.5
2025-10-18,67,4583,1.46%,14.6
2025-10-19,59,3531,1.67%,9.4
2025-10-20,161,6201,2.6%,9.3
2025-10-21,134,5536,2.42%,8
2025-10-22,147,5735,2.56%,9.8
2025-10-23,134,5325,2.52%,8.4
2025-10-24,95,4940,1.92%,9.3
2025-10-25,63,4237,1.49%,14.2
2025-10-26,49,3511,1.4%,11.6
2025-10-27,127,5833,2.18%,8.7
2025-10-28,127,5406,2.35%,9.1
2025-10-29,124,5395,2.3%,8.7
2025-10-30,124,4874,2.54%,8.7
2025-10-31,97,4781,2.03%,11.9
2025-11-01,61,3536,1.73%,13.7
2025-11-02,52,3481,1.49%,10.8
2025-11-03,116,5753,2.02%,8.8
2025-11-04,141,5929,2.38%,10.1
2025-11-05,138,5501,2.51%,8.7
2025-11-06,132,5919,2.23%,9.1
2025-11-07,120,5577,2.15%,9.5
2025-11-08,83,5093,1.63%,12.9
2025-11-09,89,4749,1.87%,9.9
2025-11-10,157,7553,2.08%,8.9
2025-11-11,144,7349,1.96%,8.8
2025-11-12,162,7537,2.15%,9.3
2025-11-13,168,8882,1.89%,8.4
2025-11-14,127,8699,1.46%,10.6
2025-11-15,83,6838,1.21%,9.8
2025-11-16,77,7082,1.09%,9
2025-11-17,128,8089,1.58%,9
2025-11-18,153,6633,2.31%,9.2
2025-11-19,108,6586,1.64%,9.2
2025-11-20,99,5988,1.65%,9.6
2025-11-21,100,5839,1.71%,12.2
2025-11-22,66,4464,1.48%,11.1
2025-11-23,61,4145,1.47%,11.1
2025-11-24,122,6065,2.01%,9.5
2025-11-25,135,5835,2.31%,9.8
2025-11-26,143,5694,2.51%,9.6
2025-11-27,139,5665,2.45%,9.6
2025-11-28,95,6330,1.5%,12.5
2025-11-29,60,3988,1.5%,10.4
2025-11-30,57,4213,1.35%,10.6
2025-12-01,105,6094,1.72%,9.9
2025-12-02,137,5583,2.45%,10.2
2025-12-03,105,5632,1.86%,10.7
2025-12-04,101,5223,1.93%,10.5
2025-12-05,78,5486,1.42%,13.3
2025-12-06,56,3933,1.42%,11.4
2025-12-07,50,3973,1.26%,11.5
2025-12-08,103,6296,1.64%,11.4
2025-12-09,127,5924,2.14%,11.6
2025-12-10,108,5786,1.87%,12.1
2025-12-11,108,5537,1.95%,10.7
2025-12-12,104,5323,1.95%,13.2
2025-12-13,56,4585,1.22%,11
2025-12-14,61,4583,1.33%,11.3
2025-12-15,122,6279,1.94%,10
2025-12-16,131,7359,1.78%,13.2
2025-12-17,123,6041,2.04%,9.9
2025-12-18,113,6169,1.83%,11.2
2025-12-19,80,7479,1.07%,14.8
2025-12-20,38,4528,0.84%,11.4
2025-12-21,53,4478,1.18%,11.2
2025-12-22,80,6318,1.27%,10.4
2025-12-23,73,5522,1.32%,10.2
2025-12-24,36,5093,0.71%,16.6
2025-12-25,49,3744,1.31%,13
2025-12-26,65,5350,1.21%,9.9
2025-12-27,54,4606,1.17%,10.1
2025-12-28,65,4654,1.4%,10.8
2025-12-29,90,6015,1.5%,9.5
2025-12-30,78,5660,1.38%,9.9
2025-12-31,45,4281,1.05%,14.3
2026-01-01,37,4211,0.88%,16.6
2026-01-02,75,5145,1.46%,10.2
2026-01-03,51,4391,1.16%,10.1
2026-01-04,55,4809,1.14%,10.4
2026-01-05,126,6648,1.9%,9.5
2026-01-06,130,6498,2%,9.2
2026-01-07,141,6957,2.03%,9.8
2026-01-08,119,7979,1.49%,14
2026-01-09,120,7143,1.68%,11.9
2026-01-10,77,5965,1.29%,10.3
2026-01-11,71,5813,1.22%,10.5
2026-01-12,122,7783,1.57%,9
2026-01-13,174,8318,2.09%,8.8
2026-01-14,155,8789,1.76%,9
2026-01-15,146,9082,1.61%,10.2
2026-01-16,154,8757,1.76%,11
2026-01-17,118,7669,1.54%,9.2
2026-01-18,100,7733,1.29%,10.7
2026-01-19,174,9628,1.81%,8.5
2026-01-20,149,9143,1.63%,9.1
2026-01-21,164,8930,1.84%,10
2026-01-22,139,9522,1.46%,11.8
2026-01-23,142,8111,1.75%,9.6
2026-01-24,92,6446,1.43%,9.7
2026-01-25,70,6039,1.16%,9.8
2026-01-26,139,8556,1.62%,9.1
2026-01-27,152,8613,1.76%,9.4
2026-01-28,160,8219,1.95%,9.2
2026-01-29,138,8129,1.7%,10.8
2026-01-30,121,8693,1.39%,11.7
2026-01-31,91,6209,1.47%,10.2
2026-02-01,78,5889,1.32%,10
2026-02-02,86,6695,1.28%,10
2026-02-03,151,7549,2%,8.2
2026-02-04,140,7755,1.81%,8.7
2026-02-05,135,8425,1.6%,10.1
2026-02-06,130,7688,1.69%,12.3
2026-02-07,102,5383,1.89%,8.9
2026-02-08,75,5039,1.49%,10.1
2026-02-09,156,7680,2.03%,9.5
2026-02-10,15,1157,1.3%,18.5
2026-02-11,2,720,0.28%,22.1
2026-02-12,3,769,0.39%,26.9
2026-02-13,6,694,0.86%,31.5
2026-02-14,3,793,0.38%,34.5
2026-02-15,29,2113,1.37%,15.9
2026-02-16,145,8659,1.67%,8.8
2026-02-17,142,8864,1.6%,9.6
2026-02-18,148,8588,1.72%,8.4
2026-02-19,142,9219,1.54%,11.1
2026-02-20,107,7435,1.44%,9.1
2026-02-21,64,6426,1%,11.9
2026-02-22,55,4712,1.17%,10.4
2026-02-23,113,7464,1.51%,9.2
2026-02-24,139,7974,1.74%,9.3
2026-02-25,180,7969,2.26%,9.2
2026-02-26,165,9391,1.76%,12.2
2026-02-27,157,8279,1.9%,9.2
2026-02-28,87,6321,1.38%,9.9
2026-03-01,56,6172,0.91%,10.2
2026-03-02,151,8475,1.78%,8.8
2026-03-03,156,8771,1.78%,9.1
2026-03-04,174,8271,2.1%,8.9
2026-03-05,141,8758,1.61%,10.5
2026-03-06,134,7929,1.69%,9.7
2026-03-07,68,5908,1.15%,9
2026-03-08,68,5601,1.21%,9.6
2026-03-09,153,8931,1.71%,8.7
2026-03-10,119,8947,1.33%,9.2
2026-03-11,129,8293,1.56%,9.4
2026-03-12,155,8109,1.91%,10.9
2026-03-13,123,7183,1.71%,10.2
2026-03-14,62,5696,1.09%,9.5
2026-03-15,56,5543,1.01%,9.4
2026-03-16,86,6746,1.27%,9.2
2026-03-17,146,8189,1.78%,8.5
2026-03-18,155,8098,1.91%,8.4
2026-03-19,130,7644,1.7%,10
2026-03-20,115,7320,1.57%,8.8
2026-03-21,73,5921,1.23%,9.2
2026-03-22,81,5748,1.41%,9.3
2026-03-23,141,8803,1.6%,8.5
2026-03-24,136,8209,1.66%,8.4
2026-03-25,142,8433,1.68%,8.8
2026-03-26,133,8163,1.63%,8.9
2026-03-27,105,8132,1.29%,10.3
2026-03-28,88,5850,1.5%,9.3
2026-03-29,56,5968,0.94%,9.9
2026-03-30,131,8485,1.54%,8.7
2026-03-31,142,7579,1.87%,8.9
2026-04-01,102,6856,1.49%,8.7
2026-04-02,90,5893,1.53%,9.2
2026-04-03,69,6303,1.09%,10.7
2026-04-04,62,4986,1.24%,9.2
2026-04-05,68,5320,1.28%,9.2
2026-04-06,140,8191,1.71%,8.8
2026-04-07,123,7992,1.54%,8.2
2026-04-08,148,7837,1.89%,8.4
2026-04-09,149,8475,1.76%,9.8
2026-04-10,144,7650,1.88%,8.5
2026-04-11,84,5450,1.54%,8.7
2026-04-12,84,5915,1.42%,8.8
2026-04-13,175,8402,2.08%,8.2
2026-04-14,149,8194,1.82%,7.9
2026-04-15,137,7953,1.72%,9.2
2026-04-16,161,7234,2.23%,7.9
2026-04-17,126,7648,1.65%,9.5
2026-04-18,73,5581,1.31%,8.5
2026-04-19,90,5516,1.63%,9.9
2026-04-20,152,7840,1.94%,8.3
2026-04-21,161,7076,2.28%,8.4
2026-04-22,132,6940,1.9%,8.6
2026-04-23,131,7550,1.74%,9.6
2026-04-24,124,7155,1.73%,8.6
2026-04-25,70,5289,1.32%,9.1
2026-04-26,72,6345,1.13%,9.2
2026-04-27,166,8267,2.01%,8.2
2026-04-28,160,7625,2.1%,8.5
2026-04-29,146,7265,2.01%,8.1
2026-04-30,125,6475,1.93%,10
2026-05-01,77,5204,1.48%,9.2
2026-05-02,84,5147,1.63%,9
2026-05-03,93,5044,1.84%,9.6
2026-05-04,144,7435,1.94%,8.6
2026-05-05,163,7583,2.15%,8.4
2026-05-06,135,7342,1.84%,8.5
2026-05-07,157,7053,2.23%,8.6
2026-05-08,122,6504,1.88%,8.9
2026-05-09,78,4872,1.6%,9.4
2026-05-10,64,4179,1.53%,10.2
2026-05-11,160,7382,2.17%,8.8
2026-05-12,147,7216,2.04%,8.3
2026-05-13,141,6847,2.06%,8.6
2026-05-14,142,7205,1.97%,9
2026-05-15,177,11784,1.5%,8.3
2026-05-16,89,6220,1.43%,9
2026-05-17,63,5141,1.23%,9.3
2026-05-18,127,8036,1.58%,8.3
2026-05-19,140,7414,1.89%,7.9
2026-05-20,153,7090,2.16%,7.9
2026-05-21,143,7537,1.9%,8.3
2026-05-22,136,6899,1.97%,8.5
2026-05-23,69,4958,1.39%,8.8
2026-05-24,69,5135,1.34%,9.4
2026-05-25,162,8997,1.8%,8.1
2026-05-26,161,7604,2.12%,7.7
2026-05-27,159,7448,2.13%,8.2
2026-05-28,128,7176,1.78%,8.7
2026-05-29,120,7043,1.7%,9.7
2026-05-30,85,5311,1.6%,9.1
2026-05-31,78,5586,1.4%,8.9
2026-06-01,147,8169,1.8%,8.4