Top queries,Clicks,Impressions,CTR,Position
homea,3113,16327,19.07%,3.92
refrigerador panelable,965,15680,6.15%,4.44
homea queretaro,239,890,26.85%,1.99
refrigeradores panelables,187,1980,9.44%,3.34
fpru19f8wf,183,2078,8.81%,4.4
ccwsz57l18dm,169,1782,9.48%,2.57
refrigerador sub-zero pro 48 precio,157,1843,8.52%,4.73
refrigerador sub-zero precio,153,2999,5.1%,3.94
lavavajillas panelable,148,5449,2.72%,6.04
whc18t521stwc,137,1930,7.1%,3.7
campana downdraft,100,2074,4.82%,3.16
pasto sintetico queretaro,97,6167,1.57%,9.41
refrigerador panelable whirlpool,95,985,9.64%,2.53
asador de gas empotrable,93,2363,3.94%,4.83
refrigerador counter depth,87,677,12.85%,1.77
cgu366p2ts1,82,1024,8.01%,3.55
refrigerador frigidaire,80,17334,0.46%,8.88
prf0173669,78,387,20.16%,1.76
refrigerador panelable mexico,76,559,13.6%,2.94
parrilla wolf precio,71,1393,5.1%,5.32
refrigerador sub zero precio,70,2470,2.83%,3.97
jx160,68,854,7.96%,2.87
ei33ar80ws,65,630,10.32%,3.46
estufa wolf,64,5149,1.24%,7.97
frigidaire refrigerador,63,13248,0.48%,8.52
gemelos electrolux,59,401,14.71%,1.39
refrigerador 80 cm ancho,53,3998,1.33%,2.19
asadores queretaro,53,639,8.29%,5.03
gemelos frigidaire,53,454,11.67%,4.24
estufa monogram precio,51,1770,2.88%,5.94
refrigerador empotrable,50,3801,1.32%,10.12
fpfu19f8wf,50,903,5.54%,4.92
arboles artificiales,47,3028,1.55%,8.13
estufas wolf precios,47,2143,2.19%,5.11
gempdf19ebtcds,47,614,7.65%,4.43
uvw93642pss,47,479,9.81%,3.61
zgu366ntss,46,860,5.35%,5.76
zir361nprii,46,615,7.48%,6.42
sauna,45,13969,0.32%,10.71
chimenea de leña para interior,45,2135,2.11%,6.52
estufa wolf precio,45,1799,2.5%,4.81
cafetera empotrable,44,4226,1.04%,8.69
refrigerador sub zero,43,8908,0.48%,9.64
ziss480dnss,42,607,6.92%,5.6
prf0192779,42,281,14.95%,2.37
estufas de cassette,41,373,10.99%,5.26
parrilla wolf,40,1838,2.18%,5.76
zgu486ndtss,40,447,8.95%,3.28
jacuzzi queretaro,39,1333,2.93%,7.71
prf0190023,39,151,25.83%,1.96
gemidf25eyrcfs,38,685,5.55%,5.79
electrolux refrigerador,36,5165,0.7%,9.14
campana telescopica,36,2922,1.23%,7.38
emc80130s0,36,444,8.11%,3.12
sauna queretaro,34,1479,2.3%,9.08
estufas profesionales,34,1141,2.98%,5.16
lkuix535pps,34,1047,3.25%,5.27
refrigerador viking precio,34,826,4.12%,1.48
swt-fltr-4,34,375,9.07%,5.09
jx7230slss,34,338,10.06%,5.01
arbol artificial,33,4712,0.7%,8.37
aire acondicionado queretaro,33,2910,1.13%,10.01
parrilla cafe,33,1577,2.09%,7.18
refrigerador subzero precio,33,1231,2.68%,4.45
refrigerador paneable,33,599,5.51%,4.2
gempdf21eyrcfs,33,357,9.24%,4.95
parrilla monogram precio,33,303,10.89%,1.76
chimeneas de leña para interiores,32,1525,2.1%,7.17
asadores de gas empotrables,32,565,5.66%,4.3
refrigerador electrolux,31,6267,0.49%,8.41
enfriador de bebidas,31,4165,0.74%,11.05
ksg9p4x,31,1523,2.04%,3.75
estufa de cassette,31,819,3.79%,2.6
prf0097796a,31,262,11.83%,2.9
7mmvwb855ec,31,225,13.78%,1.52
estufa profesional,30,2209,1.36%,7.81
campana cilindrica,30,908,3.3%,4.99
cm7648piw0,30,796,3.77%,6.91
ei33af80ws,30,529,5.67%,4.72
gaggenau precios,30,493,6.09%,5.74
que minisplit comprar,30,236,12.71%,1.52
centro de lavado electrico,29,9869,0.29%,10.06
refri panelable,29,1534,1.89%,4.54
pgp95kmnn0,29,1323,2.19%,6.4
gcl2340psbb0,29,236,12.29%,2.83
refrigerador electrolux precio,28,3070,0.91%,8.31
refrigerador de 80 cm de ancho,27,2203,1.23%,1.61
parrilla con campana integrada,27,1162,2.32%,6.33
cajon congelador,27,1018,2.65%,3.67
como elegir un minisplit,27,957,2.82%,4.9
estufa profesional para casa,27,665,4.06%,4.41
gaggenau mexico,27,638,4.23%,5.47
refrigerador 70 cm ancho,26,1878,1.38%,2.04
cajon refrigerador,26,1549,1.68%,5.48
centro de lavado eléctrico 220v,26,1279,2.03%,5.15
smeg refrigerador panelable,26,848,3.07%,4.49
electrolux icon refrigerador,26,371,7.01%,1.24
asador de gas,25,6697,0.37%,15.53
asador para empotrar,25,1510,1.66%,6.26
wre57bktww,25,1321,1.89%,5.06
frigobar empotrable,25,814,3.07%,1.71
asador gas empotrable,25,432,5.79%,4.17
prf0173672,25,317,7.89%,2.82
tarja de submontar,24,3673,0.65%,6.22
lavavajillas de piso,23,4320,0.53%,5.82
refrigerador panelable smeg,23,1498,1.54%,4.68
refrigerador viking,23,1485,1.55%,8.57
tarja de 3 tinas,23,956,2.41%,1.73
smeg panelable,23,749,3.07%,4.55
parrilla teppanyaki,23,640,3.59%,6.07
refrigerador con puertas panelables,23,630,3.65%,2.49
ecws3012as,23,202,11.39%,2.69
refrigerador monogram precio,22,1185,1.86%,2.48
asador empotrable de gas,22,783,2.81%,5.25
clgg70214bab0,22,606,3.63%,5.59
invisacook precio,22,424,5.19%,3.03
refrigerador whirlpool panelable,22,261,8.43%,2.59
sub zero refrigerador,21,3025,0.69%,10.4
arboles artificiales grandes,21,976,2.15%,7.03
microondas con trim,21,956,2.2%,2.5
electrolux icon,21,661,3.18%,2.77
peb7227andd,21,640,3.28%,8.05
pasto artificial queretaro,21,529,3.97%,5.42
r31831i,21,390,5.38%,4.38
vec530,21,349,6.02%,5.85
frigidaire fpru19f8wf,21,210,10%,3.73
refrigerador sub zero pro 48 precio,21,122,17.21%,2.08
aires acondicionados queretaro,20,1752,1.14%,9.36
chimenea interior,20,1090,1.83%,5.39
refrigerador de 70 cm de ancho,20,1067,1.87%,2.49
rme360fdmrd0,20,914,2.19%,6.62
emc5044cais0,20,876,2.28%,6.17
arboles artificiales para interior,20,830,2.41%,5.85
cava empotrable,20,823,2.43%,2.53
plantas artificiales para exterior,20,556,3.6%,9.11
pmo050x2bb0,20,437,4.58%,2.76
estufas profesionales para casa,20,372,5.38%,4.32
zdp366ntss,20,334,5.99%,4.5
asador empotrable gas,20,278,7.19%,6.19
dfi664,20,158,12.66%,6.06
tipos de estufas,19,5294,0.36%,8.9
parrilla de gas 1 quemador,19,3144,0.6%,6.14
purificador de agua mabe,19,2863,0.66%,7.86
refrigerador subzero,19,2226,0.85%,8.34
wee745h0lz,19,847,2.24%,6.46
refrigerador 90 cm ancho,19,781,2.43%,4.3
ma0c80300ci4,19,639,2.97%,5.9
cpf48ugmx,19,502,3.78%,5.19
pasto artificial,18,9194,0.2%,12.59
estufa viking,18,2350,0.77%,9.45
subzero refrigerador,18,2094,0.86%,7.87
cava de vinos empotrable,18,1190,1.51%,3.68
cb300u,18,1164,1.55%,3.63
parrilla viking,18,1122,1.6%,2.61
plantas artificiales queretaro,18,381,4.72%,5.97
asador de gas para empotrar,18,364,4.95%,4.18
frigidaire professional refrigerador,18,340,5.29%,3.14
csb48wp2ns1,18,312,5.77%,6.73
pvp3021,18,299,6.02%,4.46
refrigerador electrolux icon,18,245,7.35%,2.22
invisacook mexico,18,151,11.92%,4.56
gcws3067af,18,145,12.41%,2.57
centro de lavado maytag,17,3633,0.47%,9.21
tarja submontar,17,3316,0.51%,8.9
pot filler,17,1863,0.91%,7.38
parrilla wolf 6 quemadores,17,1234,1.38%,7.35
pasto sintetico en queretaro,17,476,3.57%,8.01
lavadora 60 cm ancho,17,453,3.75%,1.78
centro de lavado 220v,17,374,4.55%,4.14
refrigerador puertas panelables,17,269,6.32%,2.46
refrigerador paneleable,17,264,6.44%,3.86
cts90dp2ns1,17,260,6.54%,3.8
zsb9232nss,17,256,6.64%,4.69
whirlpool panelable,17,231,7.36%,2.63
csb913p2ns1,17,226,7.52%,3.92
sub zero refrigerador precio,17,214,7.94%,2.32
cts90dp4nw2,17,170,10%,3.81
uxb1200dys,17,164,10.37%,8.91
estufa 90 cm,16,664,2.41%,4.36
árboles artificiales para interiores,16,594,2.69%,5.56
refrigerador mabe 32 pies,16,557,2.87%,3.33
cgy366p2ts1,16,553,2.89%,5.73
cgu366p4tw2,16,492,3.25%,4.13
clgg70214dab0,16,433,3.7%,4.6
kseb900ess,16,417,3.84%,6.7
cb2485u,16,342,4.68%,3.49
frigidaire refrigerador y congelador,16,275,5.82%,2.4
asadores en queretaro,16,229,6.99%,6.1
trmktez2lv79,16,224,7.14%,4.79
prf0141607a,16,150,10.67%,3.31
estufa wolf precio méxico,16,131,12.21%,2.79
sistema de nebulización para terrazas,16,123,13.01%,3.36
estufas wolf,15,2523,0.59%,9.41
asadores de gas,15,1710,0.88%,14.56
cajon frio,15,1279,1.17%,5.94
horno wolf precio,15,1182,1.27%,3.84
parrillas wolf,15,1138,1.32%,6.62
downdraft,15,869,1.73%,5.28
sala de plastico,15,712,2.11%,1.32
frigidaire professional,15,706,2.12%,6.24
frww4543as,15,445,3.37%,5
sauna precios méxico,15,443,3.39%,7.48
kele go 3,15,338,4.44%,7.51
c2c36lp,15,292,5.14%,6.01
enfriador de vinos empotrable,15,281,5.34%,3.31
pasto sintético querétaro precios,15,281,5.34%,5.32
refrigerador gaggenau,15,280,5.36%,3.62
fortum griferia,15,186,8.06%,4.56
trim jx160,15,176,8.52%,3.81
enseres menores,14,4214,0.33%,3.43
refrigerador frigidaire dos puertas,14,1520,0.92%,10.54
marcas de asadores,14,1448,0.97%,9.24
bertazzoni mexico,14,1212,1.16%,10.97
wolf estufas,14,1176,1.19%,9.39
mwrf220sehv,14,929,1.51%,7
subzero refrigerator,14,919,1.52%,5.57
refrigerador smeg panelable,14,891,1.57%,3.74
asador de gas acero inoxidable,14,861,1.63%,7.77
pdf21eyrcfs,14,659,2.12%,7.64
parrilla profesional,14,630,2.22%,4.63
pasto sintético querétaro,14,576,2.43%,7.78
kdd90cne,14,567,2.47%,4.43
fmiu330xt1,14,554,2.53%,4.77
t36ir905sp,14,517,2.71%,3.07
fd3620uwi,14,436,3.21%,3.83
io6062hewi1,14,375,3.73%,4.64
refrigerador frigidaire professional,14,326,4.29%,4.53
koce500ebs,14,248,5.65%,6.1
refrigerador gemelos frigidaire,14,181,7.73%,3.31
prf0095073a,14,172,8.14%,3.66
pnf25fyrcfs pdf,14,122,11.48%,5.14
electrolux ecws3012as,14,34,41.18%,2.56
jacuzzi,13,4726,0.28%,11.49
estufa cafe,13,2722,0.48%,6.83
tarja de sobreponer,13,2308,0.56%,6.84
tarja sobreponer,13,1464,0.89%,6.62
refrigerador blanco con dorado,13,1462,0.89%,7.04
parrilla monogram,13,1451,0.9%,13.35
chimeneas de leña,13,1339,0.97%,13.96
refrigerador monogram,13,1291,1.01%,7.94
xoc80790ct3,13,717,1.81%,6.53
pgp75kmti0,13,523,2.49%,6.41
la cornue precios,13,450,2.89%,9.1
ksgt124x,13,387,3.36%,3.07
parrilla de induccion con campana integrada,13,384,3.39%,6.44
catalogo mabe,13,339,3.83%,3.74
wolf estufas precio,13,301,4.32%,6.13
fn31831i,13,286,4.55%,4.14
estufa de 90 cm,13,273,4.76%,4.19
fpid2498sf,13,259,5.02%,30.01
chimenea suspendida,13,256,5.08%,5.2
cvw93644pwm,13,253,5.14%,4.55
la cornue mexico,13,214,6.07%,5.46
ksm2fpa,13,208,6.25%,7.85
thermador mexico,13,205,6.34%,8.98
socu2300mx,13,204,6.37%,3.04
dem7673cfix4,13,177,7.34%,5.32
electrolux ei33ar80ws,13,120,10.83%,4.54
parrilla de submontar,13,104,12.5%,1
jcas640rmss,13,92,14.13%,14.79
subzero,12,11604,0.1%,10.47
refrigerador frigidaire precio,12,1650,0.73%,9.08
fortum,12,1646,0.73%,7.44
asadores,12,1361,0.88%,18.18
calentadores de gas para exteriores,12,932,1.29%,9.71
stl281smx,12,772,1.55%,4.42
tarjas submontar,12,725,1.66%,6.44
refrigeradores empotrables,12,675,1.78%,7.8
glv1460fss,12,613,1.96%,6.82
chimeneas para interiores,12,576,2.08%,7.59
hm6031ewai0,12,498,2.41%,8.44
extractor de jugos smeg,12,471,2.55%,6.79
smeg cb300u,12,466,2.58%,8.62
cb3620uwi,12,455,2.64%,4.05
calentadores para terrazas,12,413,2.91%,7.63
asador de empotrar,12,407,2.95%,5.75
srt366,12,377,3.18%,5.9
stm8249p,12,354,3.39%,5.55
pmo100y5bb0,12,302,3.97%,5.64
refrigerador sub-zero méxico precio,12,294,4.08%,3.25
lavavajilla panelable,12,282,4.26%,4.47
zvw1480spss,12,259,4.63%,5.58
wee750h0hz,12,252,4.76%,5.77
prf0106864b,12,221,5.43%,2.77
pgf96k-4,12,209,5.74%,3.95
asko r31831i,12,152,7.89%,27.99
pareja frigidaire,12,48,25%,1.15
c2c34lp,12,45,26.67%,2.6
tarja de una tina,11,4181,0.26%,9.31
estufa marca cafe,11,2631,0.42%,5.9
como saber que minisplit necesito,11,1324,0.83%,8.75
fabrica de hielos,11,1214,0.91%,10.93
parrilla de 1 quemador de gas,11,1062,1.04%,5.82
cb300ui,11,1034,1.06%,4.83
dw2450,11,947,1.16%,5.23
microondas wolf,11,913,1.2%,6.61
wolf estufa,11,707,1.56%,8.04
frigobar panelable,11,678,1.62%,13.55
koce500ess,11,596,1.85%,7.89
rmb520ibmrp1,11,575,1.91%,6.53
clgg70214dab00,11,451,2.44%,3.66
fmiu330x,11,439,2.51%,5.21
io6056hewi1,11,438,2.51%,5.03
butzke muebles,11,370,2.97%,4.75
smeg extractor de jugos,11,298,3.69%,7.11
como saber que minisplit comprar,11,293,3.75%,3.06
microondas wolf precio,11,247,4.45%,2.72
zts90dpsnss,11,237,4.64%,5.97
dacor mexico,11,212,5.19%,6.7
pm64iv0,11,199,5.53%,3.45
campana elica precio,11,195,5.64%,5.77
whirlpool wre57bktww,11,182,6.04%,4.3
zidi240hii,11,176,6.25%,4.22
whirlpool refrigerador panelable,11,133,8.27%,2.62
infratech mexico,11,133,8.27%,5.83
campanas downdraft,11,129,8.53%,2.48
fpru19f8wf frigidaire,11,123,8.94%,3.01
gmtk3068af,11,115,9.57%,2.93
lavaplatos panelable,11,98,11.22%,4.63
wmh54521jv,11,92,11.96%,13.33
catalogo mabe 2024,11,34,32.35%,1.24
asador electrico,10,5004,0.2%,7.56
refrigerador de vinos,10,4285,0.23%,13.07
refrigerador con puerta de cristal,10,3165,0.32%,10.18
7mwet4027hw,10,1833,0.55%,8.81
sfu4300mx,10,1561,0.64%,7.25
tipos de tarjas,10,1375,0.73%,6.98
saunas,10,1148,0.87%,18.64
horno de gas empotrable 60 cm,10,1129,0.89%,7.29
comedor para exterior 6 sillas,10,1103,0.91%,7.06
asador tipo argentino,10,985,1.02%,8.95
kcgc506jss,10,980,1.02%,9.76
cajones refrigerados,10,972,1.03%,5
parrilla con extractor integrado,10,786,1.27%,8.91
tarjas con escurridor,10,736,1.36%,6.93
mgs8800fz,10,672,1.49%,20.82
io6062hgwi1,10,560,1.79%,8.36
refrigerador 60 cm de profundidad,10,539,1.86%,8.9
estufa de empotre 80 cm,10,516,1.94%,4.56
tarja 3 tinas,10,441,2.27%,2.33
pdf19ebtcds,10,438,2.28%,8.12
7mkrff300ebs,10,437,2.29%,4.45
viking estufa,10,416,2.4%,9.42
macetas queretaro,10,413,2.42%,7.65
lamparas redondas para exterior,10,382,2.62%,1.86
mtk330x,10,375,2.67%,2.47
sauna venta,10,327,3.06%,6.88
asadores empotrables de gas,10,293,3.41%,4.85
lavadoras de 60 cm de ancho,10,293,3.41%,5.1
panelable refrigerador,10,282,3.55%,4.04
em7659bfis3,10,278,3.6%,6.33
kbsd602ess,10,264,3.79%,17.19
kbsn608epa,10,217,4.61%,18.51
cwe19sp2ns9,10,202,4.95%,4.15
calentadores de techo para terrazas,10,200,5%,2.7
estufa color rojo,10,193,5.18%,3.64
refrigerador electrolux icon precio,10,192,5.21%,1.8
cove dw2450,10,170,5.88%,4.88
electrolux refrigerador y congelador,10,151,6.62%,1.72
microcampana mabe,10,151,6.62%,2.17
muebles para jardin en queretaro,10,142,7.04%,2.9
muebles de jardin en queretaro,10,140,7.14%,2.15
tina cold plunge,10,130,7.69%,4.95
frigidaire fpfu19f8wf,10,104,9.62%,4.9
refrigeradores panelables mexico,10,99,10.1%,3.42
vinv1200,10,82,12.2%,15.74
stm8649p,10,75,13.33%,2.53
campana extractora downdraft,10,69,14.49%,4.09
kitchenaid 740-0781,10,59,16.95%,26.53
electrolux refrigerador gemelos,10,58,17.24%,1.31
prf0097795a,10,57,17.54%,2.56
cava de vinos,9,7963,0.11%,18.39
refrigerador puerta de cristal,9,3709,0.24%,9.84
cafeteras empotrables,9,1527,0.59%,9.07
tipo de estufas,9,1382,0.65%,8.49
purificador de agua mabe precio,9,968,0.93%,5.69
cajon refrigerado,9,910,0.99%,5.1
rtu366gx,9,906,0.99%,5.9
tipos de tarjas para cocina,9,837,1.08%,9.66
"refrigerador dúplex side-by-side 585 l, 21 p3 gris acero",9,612,1.47%,4.29
pnm22mdthds,9,553,1.63%,7.71
asadores para empotrar,9,526,1.71%,6.25
mgc7536ds,9,461,1.95%,7.18
cfe28tp4mw2,9,388,2.32%,8.03
refrigeradores de 80 cm de ancho,9,353,2.55%,1.59
rms400iamrp0,9,342,2.63%,6.7
mge14xaf,9,340,2.65%,8.88
lea77114cbab0,9,305,2.95%,4.69
io8095getsx0,9,293,3.07%,4.1
frigobar subzero,9,287,3.14%,3.48
cviu338rx1,9,281,3.2%,3.52
saunas en queretaro,9,279,3.23%,8.27
ma0c80500ci3,9,239,3.77%,5.79
pl401912,9,234,3.85%,5.88
ffwc3822qs,9,185,4.86%,26.62
gdf650smjes,9,169,5.33%,21.31
wre57bktww whirlpool,9,157,5.73%,3.04
fpmo227nuf,9,154,5.84%,24.77
zdbr240nbs,9,143,6.29%,7.61
srcp065a-1su,9,139,6.47%,4.12
pgp95iv0,9,135,6.67%,3.93
zvw1360spss,9,134,6.72%,6.14
kvwc958jss,9,120,7.5%,8.72
purificador de mesa 5 etapas negro mabe - pmo075z3ns0,9,115,7.83%,4.09
cts90dp3nd1,9,112,8.04%,4.71
electrolux ei33af80ws,9,108,8.33%,4.19
kvwc956jss,9,104,8.65%,10.62
refrigerador counter depth mexico,9,67,13.43%,1.85
monogram zir361nprii,9,55,16.36%,19.35
zdwr240hbs,9,49,18.37%,13.41
lavavajillas,8,7605,0.11%,26.39
plantas artificiales,8,3588,0.22%,30.38
refrigerador gemelo,8,1704,0.47%,9.92
sub zero refrigerator,8,1543,0.52%,9.22
refrigeradores electrolux,8,1510,0.53%,8.83
filtro de agua mabe,8,1491,0.54%,5.38
estufas viking,8,1467,0.55%,10.66
baños de vapor en queretaro,8,1327,0.6%,8.74
wdf730sfgd,8,1265,0.63%,7.92
gemelos whirlpool,8,1240,0.65%,7.04
refrigerador y congelador gemelos,8,1150,0.7%,12.62
parrilla electrica bosch,8,971,0.82%,7.43
chimenea de leña,8,806,0.99%,10.83
estufas viking precios,8,795,1.01%,7.35
io6056hgwi1,8,665,1.2%,8.52
deu2450w,8,591,1.35%,4.9
kose500ess,8,591,1.35%,9.44
asador empotrable,8,576,1.39%,20.6
arbol artificial grande,8,552,1.45%,11.67
counter depth refrigerator,8,544,1.47%,15.19
sx91vjm2,8,540,1.48%,7.66
microondas de cajon,8,524,1.53%,9.62
refrigerador para empotrar,8,464,1.72%,3.92
pp930smss1,8,419,1.91%,7.22
parrilla frigidaire,8,389,2.06%,3.22
muebles de exterior,8,359,2.23%,29.18
parrilla asador de gas,8,350,2.29%,8.17
krfc704fss,8,346,2.31%,19.94
wolf parrilla,8,340,2.35%,4.53
otr316xu,8,338,2.37%,5.72
em7660cfix1,8,329,2.43%,7.07
lavadora de 60 cm de ancho,8,310,2.58%,2.55
estufa electrica de piso,8,297,2.69%,2.57
arbol artificial para interior,8,282,2.84%,5.16
mtk2230pz,8,258,3.1%,6.65
ksg9p4x smeg,8,252,3.17%,4.08
asador de gas lp,8,245,3.27%,5.24
wos72ec0hs,8,243,3.29%,14.26
estufa smeg 90 cm,8,237,3.38%,5.16
wolf parrillas,8,237,3.38%,5.92
horno electrolux eléctrico,8,235,3.4%,7.51
solo refrigerador,8,233,3.43%,3.58
mast366qbxt,8,228,3.51%,4.5
down draft,8,205,3.9%,3.49
sfpr9604tnr,8,205,3.9%,6.03
pl462212,8,198,4.04%,4.04
cl4850s/s/t,8,196,4.08%,4.22
como escoger un minisplit,8,192,4.17%,4.53
axcent catalogo,8,169,4.73%,5.95
sf4390mcxk,8,159,5.03%,5.5
mk2220az,8,158,5.06%,10.22
zgp366ntss,8,155,5.16%,4.32
zgp304ntss,8,153,5.23%,3.31
estufa cassette,8,128,6.25%,2.8
prf0120352a,8,118,6.78%,2.94
dce33pa-1ssd,8,118,6.78%,5.81
nebulizador para terrazas,8,100,8%,3.69
upk4,8,85,9.41%,2.81
ei33af80ws electrolux,8,79,10.13%,3.92
smeg fiat 500,8,62,12.9%,12.45
como saber cual minisplit comprar,8,61,13.11%,1.84
smeg se395etb,8,57,14.04%,5.25
pasto sintetico,7,3003,0.23%,35.12
pasto artificial precio,7,1821,0.38%,7.52
calentadores para exteriores,7,1688,0.41%,9.32
baño sauna,7,1614,0.43%,10.63
refrigerador 5 puertas,7,1458,0.48%,5.26
refrigerador gemelos,7,1419,0.49%,12.08
refrigerador bajo cubierta,7,1326,0.53%,11.67
viking refrigerador,7,1261,0.56%,7.74
refrigerador de 60 cm de ancho,7,1194,0.59%,11.07
estufa marca cafe precio,7,1170,0.6%,7.34
estufa wolf 6 quemadores precio,7,1123,0.62%,10.42
refrigeradores sub zero precios,7,1075,0.65%,5.69
